ticker,report_date,report_time,reported_eps,estimated_eps,surprise_pct,sign_flip,pre_close,post_close,actual_move,implied_move,move_vs_implied,net_premium,iv_rank,fwd_5d,fwd_10d,fwd_21d,bucket
MCHP,2024-11-05,postmarket,0.38,0.434,-12.44,False,75.09,73.75,-0.0178,0.0707,0.25,-1101659.0,21.27292678753715,-0.0971,-0.117,-0.1961,orderly
AEP,2024-11-06,premarket,1.85,1.783,3.76,False,100.4,96.25,-0.0413,0.0377,1.1,-237548.0,38.42072578764975,-0.0303,0.0057,-0.0042,overreaction
APA,2024-11-06,postmarket,1.0,1.029,-2.82,False,24.73,21.93,-0.1132,0.0495,2.29,309297.0,63.348317543738304,0.0306,0.0233,0.0146,overreaction
APP,2024-11-06,postmarket,1.25,0.948,31.86,False,168.55,246.53,0.4627,0.1067,4.34,1167917.0,30.400033773938443,0.154,0.2909,0.3894,up
COHR,2024-11-06,postmarket,0.58,0.628,-7.64,False,99.43,109.45,0.1008,0.0953,1.06,-371614.0,17.864581900942007,-0.0862,-0.0341,-0.0503,up
CVS,2024-11-06,premarket,1.09,1.27,-14.17,False,55.34,61.61,0.1133,0.069,1.64,487809.0,21.61305765424239,-0.1191,-0.0776,-0.1026,up
QCOM,2024-11-06,postmarket,2.26,2.558,-11.65,False,172.99,172.91,-0.0005,0.0676,0.01,-3189603.0,47.698464841584844,-0.0517,-0.1009,-0.0704,orderly
ABNB,2024-11-07,postmarket,2.13,2.168,-1.75,False,147.37,134.61,-0.0866,0.0802,1.08,-3254114.0,2.351993034728478,-0.0157,0.0203,0.0274,overreaction
AKAM,2024-11-07,postmarket,1.05,1.589,-33.92,False,104.4,89.37,-0.144,0.0801,1.8,-1362510.0,27.65347810252793,-0.0217,0.0395,0.1053,capitulation
ANET,2024-11-07,postmarket,0.57,2.085,-72.66,False,107.75,100.11,-0.0709,0.0695,1.02,-1886180.0,20.926466266671266,-0.0651,0.0151,0.0466,capitulation
BDX,2024-11-07,premarket,3.81,3.768,1.11,False,240.06,227.11,-0.0539,0.0423,1.28,-31163.0,19.490790300152906,0.0003,-0.0073,-0.0181,overreaction
DDOG,2024-11-07,premarket,0.15,0.388,-61.34,False,128.35,129.79,0.0112,0.0798,0.14,511622.0,1.6344225197814035,0.0126,0.1084,0.2419,up
FTNT,2024-11-07,postmarket,0.56,0.514,8.95,False,83.68,92.04,0.0999,0.0823,1.21,2477636.0,18.383707161718053,0.0235,0.0079,0.0553,up
HAL,2024-11-07,premarket,0.73,0.754,-3.18,False,30.5,29.55,-0.0311,0.0353,0.88,-170625.0,30.19032113460353,0.019,0.0785,-0.0159,orderly
MNST,2024-11-07,postmarket,0.4,0.424,-5.66,False,54.73,54.14,-0.0108,0.0502,0.21,505799.0,25.590284325027213,-0.0395,-0.0015,-0.0209,orderly
MRNA,2024-11-07,premarket,0.03,-1.906,101.57,True,51.81,50.28,-0.0295,0.1144,0.26,863270.0,54.25434266583731,-0.209,-0.2393,-0.0921,other
HD,2024-11-12,premarket,3.78,3.643,3.76,False,408.29,403.08,-0.0128,0.0299,0.43,-4499206.0,26.51706689927927,0.0092,0.0656,0.0281,orderly
OXY,2024-11-12,postmarket,1.0,0.798,25.31,False,50.29,51.12,0.0165,0.0443,0.37,1355807.0,60.4609402617624,-0.0041,-0.0156,-0.0681,up
CSCO,2024-11-13,postmarket,0.75,0.869,-13.69,False,59.18,57.92,-0.0213,0.0484,0.44,390538.0,9.202495582450467,-0.0062,0.0223,0.0074,orderly
AMAT,2024-11-14,postmarket,2.32,2.177,6.57,False,186.0,168.88,-0.092,0.0488,1.89,-2348376.0,21.737686847626332,0.0355,0.0852,0.0086,overreaction
DIS,2024-11-14,premarket,1.14,1.091,4.49,False,102.72,109.12,0.0623,0.0573,1.09,14679937.0,19.64275781543367,0.0513,0.0765,0.0274,up
MDT,2024-11-19,premarket,1.26,1.245,1.2,False,87.59,85.0,-0.0296,0.0324,0.91,158368.0,33.52462808139268,0.008,0.0038,-0.0589,orderly
NVDA,2024-11-20,postmarket,0.78,0.745,4.7,False,145.89,146.67,0.0053,0.0746,0.07,114503056.0,21.84393621473333,-0.0574,-0.0288,-0.0477,up
PANW,2024-11-20,postmarket,0.41,1.48,-72.3,False,196.45,198.85,0.0122,0.0686,0.18,1541888.0,14.138594258893615,-0.0248,0.0206,-0.0535,up
TGT,2024-11-20,premarket,1.85,2.29,-19.21,False,156.0,121.72,-0.2197,0.0736,2.98,-27240346.0,34.86147266301075,0.0688,0.0612,0.0802,overreaction
CPRT,2024-11-21,postmarket,0.37,0.367,0.82,False,56.9,62.7,0.1019,0.0583,1.75,307954.0,23.23509004436912,-0.0108,-0.0148,-0.0573,up
INTU,2024-11-21,postmarket,1.07,2.357,-54.6,False,678.7,640.12,-0.0568,0.0498,1.14,-2882392.0,15.637963677088,-0.0095,0.0101,0.0081,capitulation
ADI,2024-11-26,premarket,1.67,1.635,2.14,False,223.58,219.05,-0.0203,0.0432,0.47,-558381.0,21.43713237350782,-0.0034,-0.0088,-0.0094,orderly
CRWD,2024-11-26,postmarket,0.08,0.808,-90.1,False,91.07,86.9,-0.0458,0.0685,0.67,-14446707.0,15.147471349359014,0.0496,0.0514,0.0049,miss
DELL,2024-11-26,postmarket,1.92,2.062,-6.89,False,141.74,124.38,-0.1225,0.0774,1.58,-6964777.0,21.06566892932303,0.0055,-0.0418,-0.0769,overreaction
HPQ,2024-11-26,postmarket,0.93,0.935,-0.53,False,39.1,34.66,-0.1136,0.0654,1.74,-1138237.0,26.394778148842263,0.0436,0.0092,-0.0586,overreaction
CRM,2024-12-03,postmarket,1.86,2.429,-23.43,False,331.43,367.87,0.1099,0.0629,1.75,12314440.0,19.585774706690373,-0.0354,-0.0833,-0.1015,up
MRVL,2024-12-03,postmarket,0.26,0.402,-35.32,False,95.91,118.15,0.2319,0.0791,2.93,17362352.0,17.710101494985167,-0.0575,-0.1089,0.0073,up
HPE,2024-12-05,postmarket,0.53,0.553,-4.16,False,21.65,23.95,0.1062,0.0707,1.5,-435397.0,21.458406026003622,-0.0885,-0.0977,-0.0802,up
LULU,2024-12-05,postmarket,2.87,2.687,6.81,False,344.81,399.6,0.1589,0.0769,2.07,12212186.0,26.434694677077793,-0.0199,-0.0505,-0.0167,up
ORCL,2024-12-09,postmarket,1.15,1.475,-22.03,False,190.45,177.74,-0.0667,0.0777,0.86,-4750057.0,20.065362201845343,-0.0452,-0.0356,-0.134,miss
ADBE,2024-12-11,postmarket,4.07,4.665,-12.75,False,549.93,474.63,-0.1369,0.0652,2.1,-31793409.0,8.571392651927368,-0.0785,-0.0593,-0.1208,overreaction
AVGO,2024-12-12,postmarket,1.42,1.388,2.31,False,180.66,224.8,0.2443,0.0638,3.83,172677911.0,35.401793122194235,-0.0178,0.048,0.0205,up
CIEN,2024-12-12,premarket,0.32,0.659,-51.44,False,73.21,84.52,0.1545,0.0864,1.79,782107.0,24.142823908310664,0.015,0.0253,0.014,up
